maker,name,price,url
DELL デル,FI537-BWHBSC [Inspiron 24 5000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i3-1115G4 プロセッサー/メモリ 8GB/SSD 256GB/Windows 11 Home/Office Home＆Business 2021/シルバー],"￥129,800",/product/100000001006780268/
DELL デル,FI557-BWHBSC [Inspiron 24 5000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i5-1135G7 プロセッサー/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home＆Business 2021/シルバー],"￥149,800",/product/100000001006780270/
マウスコンピューター mouse computer,PCMI117P21J [Windows11 Pro搭載デスクトップパソコン/Corei7-11700/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 750/DVDスーパーマルチドライブ/Windows11 Pro 64bit],"￥154,800",/product/100000001006821765/
ミニズフォーラム MINISFORUM,GK41-8/128-W10Pro（J4125） [小型デスクトップパソコン/CPU：Intel（R） Celeron（R） Processor J4125/メモリ：8GB/ストレージ：M.2 SSD 128GB/Windows 10 Pro 64bit],"￥32,970",/product/100000001006298628/
マウスコンピューター mouse computer,PCMIDV109KP22P21C [クリエイター向けデスクトップパソコン/Core i9-10900K/32GB/SSD 512GB (NVMe)/HDD 4TB/Quadro P2200/DVDスーパーマルチドライブ/Windows10 Pro 64bit (DSP) /Office Home & Business 2019],"￥309,800",/product/100000001006104328/
NEC エヌイーシー,PC-A2797DAB [デスクトップパソコン 27型/Ryzen 7 5800U/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥285,780",/product/100000001006878176/
マウスコンピューター mouse computer,PCMI104G306H21J [ゲーミングデスクトップパソコン/Corei5-10400/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥219,800",/product/100000001006427169/
HP,52M18PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 7 5700G/メモリ 16GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥121,000",/product/100000001006981431/
ミニズフォーラム MINISFORUM,UM700L-8/256-W10Pro（3750H） [超小型デスクトップパソコン/CPU：AMD Ryzen7 3750H/メモリ：8GB/SSD：256GB/OS：Windows 10 Pro搭載],"￥68,980",/product/100000001006778038/
ASUS エイスース,PB40-BC131ZD [Mini PC PB40シリーズ Celeron N4000/DDR4メモリ 4GB/HDD 500GB/ドライブレス/Windows 10 Pro ブラック],"￥44,800",/product/100000001004813910/
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [富士通 FUJITSU FMVF70F3BC デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/ブラック＋ウイルスバスター クラウド 3年版],"￥257,210",/product/200000000100195005/
レノボ･ジャパン Lenovo,F0FY0024JP [IdeaCentre AIO360/27型/AMD Ryzen 7 5700U プロセッサー/メモリ16GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥155,100",/product/100000001006809887/
レノボ･ジャパン Lenovo,90RW002MJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen5 5600Gプロセッサー/NVIDIA GeForce GTX 1660 SUPER/SSD 512GB/メモリ 8GB/Windows 10 Home 64bit/ブラック],"￥131,780",/product/100000001006319718/
ECS イーシーエス,LIVAQ1D-4/64-W10（N3350） IOT [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC 64bit/ブラック],"￥33,110",/product/100000001006032129/
Acer エイサー,PO3-630-A72Z/307 [ゲーミングデスクトップパソコン Predator Orion 3000/Core i7-11700F/メモリ 32GB/1TB SSD/Windows 10 Home 64ビット/ブラック],"￥277,110",/product/100000001006506452/
ASUS エイスース,CHROMEBOX4-G7021UN [Chromebox デスクトップPC i7-10510U/メモリ 16GB/SSD 256GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥106,800",/product/100000001006104354/
アイ･オー･データ機器 I-O DATA,MPC-LVZ3P [CPU N3350Intel Core i3-10110U/メモリー 8GB/ストレージ 256GB/OS Windows10 IoT Enterprise 2019],"￥98,780",/product/100000001006521777/
ASUS エイスース,CHROMEBOX4-GC018UN [Chromebox デスクトップPC Celeron 5205U/メモリ 4GB/eMMC 64GB /Wi-Fi 6/Vesa Mount/Chrome OS],"￥49,800",/product/100000001006104351/
DELL デル,FI537-BWHBBC [Inspiron 24 5000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i3-1115G4 プロセッサー/メモリ 8GB/SSD 256GB/Windows 11 Home/Office Home＆Business 2021/ブラック],"￥129,800",/product/100000001006780267/
NEC エヌイーシー,PC-A2377DAB [デスクトップパソコン 23.8型/Ryzen 7 5700U/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥274,780",/product/100000001006878175/
マウスコンピューター mouse computer,PCMI117G307H21J [ゲーミングデスクトップパソコン/Corei7-11700/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥299,800",/product/100000001006427171/
ECS イーシーエス,LIVAZ-8/256-W10Pro（N4200） [Windows 10 Pro搭載 小型デスクトップパソコン],"￥50,700",/product/100000001005182401/
アイ･オー･データ機器 I-O DATA,MPC-LVQ2 [Intel(R)Celeron(R)N4120/4GB/64GB(eMMC)/Windows 10 IoT Enterprise搭載 miniPC],"￥60,280",/product/100000001006818981/
ECS イーシーエス,LIVAZ-4/64-W10Pro(N3350) [Windows 10 Pro搭載 小型デスクトップパソコン メモリ4GB/ストレージ64GBモデル],"￥32,000",/product/100000001005135358/
ASUS エイスース,CHROMEBOX4-G5020UN [Chromebox デスクトップPC Core i5-10210U/メモリ 8GB/SSD 128GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥84,020",/product/100000001006104353/
レノボ･ジャパン Lenovo,F0G10047JP [IdeaCentre AIO360/23.8型/AMD Ryzen 3 5300U プロセッサー/メモリ8GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥123,190",/product/100000001006809885/
レノボ･ジャパン Lenovo,F0E50030JP [一体型デスクトップ Yoga A940 core i7-9700 27型 メモリー16GB HDD 2TB 、Optaneメモリー16GB Windows 10 Pro 64bit 日本語版 Microsoft Office Home&Business2019 アイアングレー],"￥302,500",/product/100000001005235464/
ECS イーシーエス,LIVAZ-4/64-W10Pro(N4200) [Windows 10 Pro搭載 ファンレス仕様 小型デスクトップパソコン],"￥37,560",/product/100000001005077404/
マウスコンピューター mouse computer,PCMI107G306H21J [ゲーミングデスクトップパソコン/Corei7-10700/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥249,800",/product/100000001006427170/
ミニズフォーラム MINISFORUM,N33-4/64-W10Pro（N3350） [CPU：intel N3350 メモリ：4GB ストレージ：eMMC 64GB windows 10 Pro 64bit ファンレス 小型デスクトップ],"￥22,000",/product/100000001006070279/
ミニズフォーラム MINISFORUM,HM80-16/512-W10Pro（4800U） [小型デスクトップパソコン/CPU：AMD Ryzen 7 4800U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB/OS：Windows 10 Pro 64bit],"￥117,880",/product/100000001006585862/
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HX90-32/512-W10Pro（5900HX） 小型デスクトップパソコン/AMD Ryzen 9 5900HX/メモリ 32GB/ストレージ M.2 2280 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],"￥135,410",/product/200000000100195019/
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HM50-16/512-W10Pro（4500U） 小型デスクトップパソコン/CPU：AMD Ryzen 5 4500U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],"￥92,710",/product/200000000100195004/
ECS イーシーエス,LIVAZ3P-4/128-W10Pro（i3-10110U） [LIVA Z3 Plus / メモリ4GB / SSD128GB / Core i3-10110U / Windows 10 Pro],"￥88,670",/product/100000001005869795/
ECS イーシーエス,LIVAQ1D-4/64-W10Pro（N3350） [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 Pro 64bit/ブラック],"￥31,090",/product/100000001006032128/
レノボ･ジャパン Lenovo,90RW002RJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen7 5700Gプロセッサー/NVIDIA GeForce RTX 3060/SSD 1TB/メモリ 16GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥221,980",/product/100000001006319715/
ASUS エイスース,CHROMEBOX4-G3019UN [Chromebox デスクトップPC Core i3-10110U/メモリ 8GB/SSD 128GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥76,800",/product/100000001006104352/
ECS イーシーエス,LIVAZ2-4/64-W10(N5000)S [Windows 10 Home搭載 ファンレス仕様 小型デスクトップパソコン],"￥36,440",/product/100000001005077402/
アイ･オー･データ機器 I-O DATA,MPC-64WE1 [小型デスクトップパソコン Intel Celeron Processor N335/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise 2019],"￥60,280",/product/100000001005344887/
レノボ･ジャパン Lenovo,F0G10046JP [IdeaCentre AIO360/23.8型/AMD Ryzen 7 5700U プロセッサー/メモリ8GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥141,680",/product/100000001006809886/
アイ･オー･データ機器 I-O DATA,MPC-LVZ2 [小型デスクトップパソコン/Intel Pentium Silver N5030/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise搭載],"￥62,480",/product/100000001006712022/
HP,52M17PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥88,000",/product/100000001006981427/
NEC エヌイーシー,PC-A2335DAB [デスクトップパソコン 23.8型/Ryzen 3 5300U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥203,280",/product/100000001006878173/
NEC エヌイーシー,PC-A2365DAB [デスクトップパソコン 23.8型/Ryzen 7 5700U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥230,780",/product/100000001006878174/
HP,52M17PA-AAAB [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2019/ナチュラルシルバー],"￥110,000",/product/100000001006981428/
アップル Apple,Apple Mac Pro カスタマイズモデル（CTO）,"￥659,780",/product/100000001005361663/
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i9プロセッサ Radeon Pro 5300 カスタマイズモデル（CTO）,"￥293,480",/product/100000001005796398/
HP,52P36PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥99,000",/product/100000001006981429/
HP,52P36PA-AAAB [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2019/ナチュラルシルバー],"￥121,000",/product/100000001006981430/
,デスクトップパソコン 新生活おすすめ快適セット [デスクトップパソコン ＋ セキュリティソフト ＋ リストレスト ＋ 外付けHDD ＋ プリンター ＋ 無線ルーター],"￥187,690",/product/200000000100196871/
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i7プロセッサ カスタマイズモデル（CTO）,"￥278,080",/product/100000001005796397/
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i9プロセッサ グラフィックスカスタマイズモデル（CTO）,"￥318,780",/product/100000001005796399/
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i5 3.1GHzプロセッサ カスタマイズモデル（CTO）,"￥217,580",/product/100000001005796395/
アップル Apple,Apple iMac 27インチ 第10世代Intel Core i5 3.3GHzプロセッサ カスタマイズモデル（CTO）,"￥241,780",/product/100000001005796396/
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM N40-4/64-W10Pro（N4020） 小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB＋ウイルスバスター クラウド 3年版],"￥34,190",/product/200000000100195023/
